Id,Name,Identity,Alignment,Eyes,Hair,Sex,Alive,Appearances,First_appeared,Planet,Universe
0,Dave Finn,Secret,Good,Blue,Black,Male,Yes,1,"2002, July",Earth-616,Marvel
1,Katherine Power,Secret,Good,Blue,Red,Female,Yes,106,"1984, August",Earth-616,Marvel
2,John Malone,Secret,Bad,Blue,White,Male,Yes,15,"1985, January",New Earth,DC
3,"Samuel Bradley, Jr.",Public,Bad,Brown,Brown,Male,No,19,"2004, March",New Earth,DC
4,Hope Taya,Public,Bad,Brown,Black,Female,Yes,28,"1999, December",New Earth,DC
5,Trygg,Secret,Bad,Black,Black,Male,Yes,3,"1940, June",New Earth,DC
6,Boris Dmitravich Razumihin,Public,Good,Brown,Black,Male,Yes,7,"1987, December",New Earth,DC
7,Perry White,Public,Good,Blue,Brown,Male,Yes,350,"1986, October",New Earth,DC
8,Perkins,Public,Bad,Green,White,Female,Yes,1,"1964, October",Earth-616,Marvel
9,Zuhn,Secret,Bad,White,Blond,Male,No,3,"2000, November",Earth-616,Marvel
10,Azaziah,Secret,Bad,Blue,White,Male,Yes,4,"1980, April",Earth-616,Marvel
11,Vladimir Morakov,Public,Good,Black,Brown,Male,Yes,8,"1989, December",New Earth,DC
12,Wild One,Public,Bad,Variable,Black,Male,Yes,3,"1992, July",Earth-616,Marvel
13,Caryn Wise,Non-dual,Neutral,White,Brown,Female,Yes,2,"1983, April",Earth-616,Marvel
14,Otto Octavius,Secret,Neutral,Hazel,Brown,Male,No,526,"1963, July",Earth-616,Marvel
15,Black Cougar,Non-dual,Bad,Black,Black,Male,No,1,"1951, September",Earth-616,Marvel
16,Sally Avril,Secret,Good,Brown,Black,Female,No,76,"1962, August",Earth-616,Marvel
17,Nina Mazursky,Secret,Good,White,No,Female,Yes,3,"2011, August",New Earth,DC
18,Tubby Watts,Secret,Good,Brown,Red,Male,Yes,137,"1941, September",New Earth,DC
19,Growler,Non-dual,Good,Brown,Black,Male,Yes,11,"1998, April",New Earth,DC
20,Raleigh Halward,Secret,Bad,Yellow,Blond,Male,Yes,4,"1983, February",Earth-616,Marvel
21,Russell Tenclouds,Public,Good,Blue,Black,Male,No,5,"1994, November",New Earth,DC
22,Edward Trane,Secret,Good,Brown,White,Male,No,2,"1983, February",New Earth,DC
23,Fashion Thing,Public,Neutral,Blue,White,Female,Yes,14,"1968, September",New Earth,DC
24,Plazm,Secret,Good,Red,Blue,Male,No,4,"2001, July",Earth-616,Marvel
25,Shathra,Non-dual,Bad,White,Black,Female,Yes,10,"2002, December",Earth-616,Marvel
26,Simyan,Public,Bad,Brown,Brown,Male,Yes,20,"1971, January",New Earth,DC
27,String,Secret,Bad,Green,Brown,Male,Yes,1,"1989, October",Earth-616,Marvel
28,Reynardo,Secret,Bad,Black,Brown,Male,No,1,"1988, November",Earth-616,Marvel
29,Aya,Public,Bad,Black,Brown,Unknown,Yes,1,"2011, June",New Earth,DC
30,Sebastian Blood IX,Secret,Bad,Red,White,Male,No,12,"2004, January",New Earth,DC
31,Phantom of the Bell Tower,Secret,Neutral,Red,Bald,Male,Yes,1,"1942, January",Earth-616,Marvel
32,Tamara Hashioka,Non-dual,Neutral,Black,Black,Female,Yes,22,"1977, August",Earth-616,Marvel
33,Dark-Crawler,Secret,Bad,Red,Black,Male,Yes,10,"1970, April",Earth-616,Marvel
34,Butch Cantwell,Public,Bad,Green,Black,Male,Yes,1,"1945, April",Earth-616,Marvel
35,LaHoya Scripps,Secret,Good,Blue,Blond,Female,Yes,8,"1991, December",Earth-616,Marvel
36,Fidel Castro,Public,Neutral,Black,White,Male,Yes,4,"1988, Holiday",New Earth,DC
37,Mister Magic,Secret,Bad,Red,Black,Male,Yes,1,"1982, August",Earth-616,Marvel
38,Jarras Minion,Secret,Good,Blue,Green,Male,Yes,25,"1994, September",New Earth,DC
39,Gunther Van Horn,Secret,Bad,Brown,Brown,Male,No,12,"1993, October",New Earth,DC
40,Vranx,Secret,Bad,Green,No,Male,Yes,2,"1994, February",Earth-616,Marvel
41,Tantaro,Secret,Good,Green,Black,Male,Yes,4,"1994, March",Earth-616,Marvel
42,Tongs,Secret,Good,White,Brown,Male,Yes,2,"2010, December",New Earth,DC
43,Korlian Dasor,Public,Good,Black,Blond,Male,Yes,10,"1961, October",New Earth,DC
44,Teekl,Public,Neutral,Red,Orange,Male,Yes,43,"1973, March",New Earth,DC
45,John Judson,Public,Bad,Brown,Brown,Male,Yes,2,"1980, July",Earth-616,Marvel
46,Ouranos,Public,Neutral,Variable,Variable,Male,Yes,3,"2008, June",Earth-616,Marvel
47,Hector,Secret,Good,Brown,Black,Male,Yes,29,"1991, March",Earth-616,Marvel
